path,initial_money,commision,result,n_generations,execution_time
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_02-23-38-945499,1000,0.0,7484.607468795096,2153,587.4648916721344
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_02-34-57-775911,1000,0.0,20185.26073841092,2462,678.8323130607605
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_02-46-31-772626,1000,0.0,72854.07894158785,2527,693.9930372238159
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_02-58-02-201151,1000,0.0,21641.077063695855,2505,690.4239821434021
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_03-11-32-502668,1000,0.0,40074.251254676354,2927,810.3100233078003
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_03-25-44-360919,1000,0.0,76428.65298780293,3068,851.8490493297577
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_03-35-02-434906,1000,0.0,71218.0999906694,2026,558.0687532424927
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_03-43-40-658422,1000,0.0,51378.13498411969,1885,518.3095421791077
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_03-53-45-479679,1000,0.0,37447.21051462085,2186,604.720734834671
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_04-02-02-804981,1000,0.0,35672.05701227393,1798,497.316712141037
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_04-13-31-195111,1000,0.0,27369.190267620634,2508,688.3934619426727
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_04-25-55-264088,1000,0.0,26572.3672909361,2719,744.0667536258698
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_04-34-39-609416,1000,0.0,14571.26678725152,1913,524.334851026535
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_04-42-19-611972,1000,0.0,19077.880001274698,1669,459.9952201843262
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_04-50-59-092082,1000,0.0,99068.63840625745,1911,519.4945178031921
/net/ascratch/people/plgproman/storage/commission0_000perc_2024-05-18_17-33-12-213006/cmaes_2024-05-19_05-02-28-453460,1000,0.0,41745.957228796855,2528,689.3730535507202
