date;open;high;low;close;volume
2021-07-05;67247.69;67439.67;67229.22;67350.36;25708286
2021-07-06;67555.17;67577.65;66651.18;66651.18;28738019
2021-07-07;66964;68106.25;66955.55;67917.27;37772999
2021-07-08;67716.41;67716.41;66535.5;66598.05;36987077
2021-07-09;66905.63;67207.45;66553.5;67128.8;27786195
2021-07-12;67139.93;67291.6;66944.22;67162.04;31209182
2021-07-13;67320;67776.88;67287.8;67448.53;27591961
2021-07-14;67517.61;67917.66;67516.98;67631.56;29868838
2021-07-15;67636.93;67878.09;67183.56;67292.59;44695160
2021-07-16;67400.16;67668.34;67256.8;67329.44;26822084
2021-07-19;67059.55;67139.83;65523.24;65737.96;39439984
2021-07-20;65755.6;66257.33;65512.09;66110.12;33082756
2021-07-21;66308.62;67329.55;66308.62;67093.95;35855310
2021-07-22;67243.64;67447.29;66831.91;66882.41;23747685
2021-07-23;67177.59;67239.41;66964.57;67190.72;24550269
2021-07-26;67179.17;67344.99;66746.01;67223.21;21893263
2021-07-27;67226.54;67254.57;66562.29;66710.29;22337408
2021-07-28;66749.35;67371.1;66725.47;67346.18;24989890
2021-07-29;67657.67;67863.55;67560.39;67833.05;34620273
2021-07-30;67428.58;67684.04;67384.83;67637.95;37495139
2021-08-02;67943.76;68041.75;67707.64;67838.54;28432651
2021-08-03;68044.06;68239.59;67648.66;67805.79;30355072
2021-08-04;68097.37;68362.03;68014.77;68170.76;24891431
2021-08-05;68120.89;68256.77;67905.61;68256.77;28887263
2021-08-06;68432.4;68432.4;67964.01;68387.12;28030512
2021-08-09;68348.85;68560.24;68268.42;68487.65;26274143
2021-08-10;68516.73;68778.27;68411.39;68635.19;31192869
2021-08-11;68620.88;68813.65;68284.03;68813.65;33863600
2021-08-12;68765.39;69076.8;68679.07;69076.8;36607767
2021-08-13;69036.63;69254.4;68924.33;69254.4;25508973
2021-08-16;68919.16;69166.6;68767.01;68811.77;27668414
2021-08-17;68825.52;69175.89;68641.91;69160.02;30007986
2021-08-18;69117.58;69175.13;68549.96;68796.17;30532386
2021-08-19;68503.03;68503.03;67475.15;68035.61;35438522
2021-08-20;68013.25;68064.62;67748.67;67966.14;74993437
2021-08-23;68315.45;68816.76;68303.13;68763;49558587
2021-08-24;68936.81;69093.64;68639.33;69093.64;64997730
2021-08-25;69003.04;69728.77;68885.4;69728.77;57222599
2021-08-26;69571.62;69865.76;69362.99;69454.99;36868611
2021-08-27;69580.94;69774.86;69143.66;69774.86;51953146
2021-08-30;69897.47;70526.66;69897.47;70526.66;74829337
2021-08-31;70557.14;71111.3;70399.65;70930.15;89902108
2021-09-01;71068.85;71347.35;70918.53;70995.66;68486575
2021-09-02;71093.27;71431.16;70804.72;71431.16;54328201
2021-09-03;71454.87;71454.87;70967.77;71177.34;80253990
2021-09-06;71188.25;72170.41;71188.25;72170.41;114800826
2021-09-07;72029.67;72084.91;71608.51;71798.97;67277193
2021-09-08;71692.69;71692.69;70908.81;70970.4;75191213
2021-09-09;70794.55;71022.79;70499.17;70980.21;76612236
2021-09-10;71160.51;71464.34;71067.49;71091.23;71659791
2021-09-13;71267.78;71804;71216.32;71804;79135350
2021-09-14;71817.24;72244.3;71620.11;72040.73;72747100
2021-09-15;71715.67;71956.45;71509.28;71711.5;54641911
2021-09-16;71679.74;71992.58;71472.35;71674.66;63617819
2021-09-17;71596.59;71665.2;71037.31;71107.64;72757913
2021-09-20;70583;70583;68713.9;69144.42;73049268
2021-09-21;69063.24;69993.03;69061.84;69420.01;45878414
2021-09-22;70082.54;70960.98;69974.88;70950.82;34766676
2021-09-23;71412.38;71447.6;70622.61;70725.53;39322842
2021-09-24;70765.75;70813.42;70062.71;70162.59;32497261
2021-09-27;70489.8;70507.09;69847.72;70027.1;34846116
2021-09-28;70023.05;70179.46;69346.88;69440.48;44771392
2021-09-29;69406.76;70007.16;69326.38;69871.41;39316937
2021-09-30;70216.65;70410.35;70016.47;70340.86;57331900
2021-10-01;69837.38;70934.09;69635.93;70811.97;80657297
2021-10-04;70778.8;71782.03;70466.94;71265.39;92782712
2021-10-05;71305.98;71969.93;70894.91;71940.47;72632960
2021-10-06;71795.43;71968.27;71042.15;71789.34;131964475
2021-10-07;72051.31;72209.73;71445.53;72124.89;86454220
2021-10-08;72346.68;73397.44;72346.68;73327.72;77155216
2021-10-11;73386.39;74459.9;73349.17;74459.9;58858970
2021-10-12;73977.94;74860.4;73884.34;74736.92;76472649
2021-10-13;74673.69;74824.23;74007.92;74282.98;71524546
2021-10-14;74696.4;74808.28;74225.06;74524.78;68939563
2021-10-15;74540.81;74604.29;74016.76;74444.83;53015208
2021-10-18;74527.91;74936.61;74407.9;74651.77;36214673
2021-10-19;74827.82;74968.51;74092.19;74298.79;55510956
2021-10-20;74195.02;74401.6;73967.33;74222.39;79487607
2021-10-21;73768.8;73964.94;73641.92;73818.53;64177962
2021-10-22;73736.66;74129.17;73572.84;73602.06;40406156
2021-10-25;73721.72;73950.83;73654.35;73876.44;43113216
2021-10-26;73898.33;74163.36;73589.18;73909.36;48199780
2021-10-27;73662.17;73751.25;73005.38;73377.9;50221408
