gen,nevals,restart,avg,std,min,max
34,199,7,2836.7992229529136,360.0891738684699,1081.8690349964331,2986.1312308762326
35,181,7,2819.6637730912917,380.16867255651806,1131.0533565768314,3050.1029641862324
36,183,7,2771.3789812336468,453.59832252805376,1039.2733314311681,3059.1558087578337
37,172,7,2801.724552606202,401.4693012418711,1547.1878834924337,3059.1558087578337
38,172,7,2853.326260691971,422.9124263667202,1107.468321968462,3059.1558087578337
39,194,7,2905.2904628918955,377.61551273227764,1197.9920566810495,3059.1558087578337
40,189,7,2882.9896999085972,393.97007427799974,1184.4325132129836,3059.1558087578337
41,194,7,2886.7520892288217,374.76198781944134,1384.6145669035873,3059.1558087578337
42,194,7,2875.447809945949,408.84186231445483,1208.522251353247,3059.1558087578337
43,181,7,2892.80157832177,398.45677882989105,1065.2232833479534,3059.1558087578337
44,176,7,2875.0250270264632,414.176653035814,1341.8232286544091,3059.1558087578337
45,172,7,2888.0964427979134,423.63000073631525,1062.7361420278285,3059.1558087578337
46,171,7,2868.3379527469515,400.4930259607583,1326.3392664416126,3059.1558087578337
47,179,7,2890.5190342019373,410.5221737096167,1111.202089462711,3059.1558087578337
48,184,7,2866.662371890237,422.94304286626306,1146.6574669002962,3059.1558087578337
49,185,7,2865.2582482063594,436.0114516335009,1026.2033707160879,3059.1558087578337
50,172,7,2886.583380678363,415.63723302253965,1188.5867670916202,3059.1558087578337
51,182,7,2884.057609738369,395.29179547291943,1275.1409637107818,3059.1558087578337
52,177,7,2928.557846159202,347.80420440201146,1199.787751170867,3059.1558087578337
53,191,7,2884.418674645831,396.9435173347353,1162.729587735028,3059.1558087578337
54,197,7,2862.09929898211,418.17148349492015,1329.0472776086292,3059.1558087578337
55,185,7,2837.7125822839475,437.254496681909,1159.8362341870838,3059.1558087578337
56,169,7,2887.061252189742,391.11325302604047,1186.403771377492,3059.1558087578337
57,172,7,2860.595531679991,421.03562282974235,1074.5939033306788,3059.1558087578337
58,166,7,2889.5510807710516,409.18291796165175,1099.7509010585545,3059.1558087578337
59,175,7,2871.318421588828,427.0464642602099,1161.1485367048722,3059.1558087578337
60,175,7,2898.3835546221203,391.9081518514885,1083.486073030624,3059.1558087578337
61,176,7,2873.7924359300614,405.6347578623221,1393.9921747749524,3059.1558087578337
62,196,7,2865.782199729713,413.4312605309475,1312.607172746081,3059.1558087578337
63,188,7,2887.5495979932557,410.7361395823261,1195.3908094204971,3059.1558087578337
64,183,7,2925.062819101428,349.17811049922096,1135.8838450259327,3059.1558087578337
65,183,7,2854.763105720622,410.39454003177167,1559.1227252824492,3059.1558087578337
66,176,7,2831.590592321512,485.938033504528,1077.0791869833029,3059.1558087578337
67,189,7,2905.852801814098,380.20020560728705,1274.302280420721,3059.1558087578337
68,179,7,2858.6273371891243,398.7049200438689,1500.5198404604246,3059.1558087578337
69,173,7,2884.8334273726255,395.0335374142007,1055.4730261298475,3059.1558087578337
70,180,7,2856.848207656984,428.8950432316351,1107.530610974758,3059.1558087578337
71,167,7,2851.7296842659757,438.1148788887703,1260.6523911854135,3059.1558087578337
72,184,7,2916.0906856549445,378.8430259352126,1099.5503911435376,3059.1558087578337
73,195,7,2877.5179071330203,408.0408459246683,1085.4773622973348,3059.1558087578337
74,183,7,2850.5268850038774,447.7061817407158,1106.79124387472,3059.1558087578337
75,188,7,2846.4107215694503,450.59187894237516,1131.2105383033218,3059.1558087578337
76,177,7,2898.1155973221043,399.58836758496915,1071.880129054911,3059.1558087578337
77,178,7,2863.177481389969,441.6392911492278,1115.0215784435954,3091.0891700432776
78,192,7,2868.416432347229,410.25562663087794,1156.4953056415973,3091.0891700432776
79,175,7,2864.5194061993984,389.46093372599296,1323.789571707815,3091.0891700432776
80,200,7,2860.0195819607616,431.09467584552857,1101.9422325681692,3091.0891700432776
81,171,7,2913.7574356797445,419.6623593305094,1217.5639048107732,3091.0891700432776
82,175,7,2895.380179586482,418.4708165624043,1092.4046926100723,3091.0891700432776
83,193,7,2940.675198034781,363.04656415494145,1085.8845182456864,3091.0891700432776
84,173,7,2898.901633713028,427.88243037764573,1218.0282390313762,3091.0891700432776
