gen,nevals,restart,avg,std,min,max
28,178,6,2397.25217351653,261.1881928929672,1221.8247922708185,2528.8163724973465
29,191,6,2414.8336926527527,244.33214187261467,1366.7671179643216,2528.8163724973465
30,174,6,2419.2128005912014,243.6429548714511,1490.0895180845002,2528.8163724973465
31,175,6,2427.3622209408595,230.0999335360872,1366.5796378681198,2528.8163724973465
32,191,6,2436.220668595169,224.1914647310556,1436.685823100007,2528.8163724973465
33,187,6,2432.669754072489,235.59706352346439,1311.7020912325559,2528.8163724973465
34,187,6,2432.362409087001,218.7480069248132,1438.9410616771736,2528.8163724973465
35,170,6,2401.717968878324,274.4836791469609,1428.5754185719118,2528.8163724973465
36,181,6,2430.705929589157,241.44458231420032,1504.0289199859048,2528.8163724973465
37,190,6,2427.58663265857,229.08493895923516,1228.0210126285235,2528.8163724973465
38,171,6,2433.9849027204436,226.5117961919503,1465.4619539110108,2530.986051649211
39,199,6,2413.049826851311,257.3396520322356,1450.6638120325304,2530.986051649211
40,181,6,2420.9495717340246,236.79535904541044,1302.2674696055226,2530.986051649211
41,174,6,2430.910017703528,229.38906011007893,1482.158697958068,2535.854275907398
42,182,6,2414.2238508324067,240.28238491963538,1464.5963060831136,2535.854275907398
43,180,6,2413.735434413233,237.46000730853623,1448.4583831297268,2535.854275907398
44,159,6,2447.2325837121593,202.09241154934594,1462.586315265295,2535.854275907398
45,181,6,2451.9587215993092,205.89108640435276,1489.8306317824151,2535.854275907398
46,174,6,2414.0934684736667,265.9303858896105,1326.7883660130317,2535.854275907398
47,183,6,2428.1660357104224,240.53944793549744,1434.7926713669492,2535.854275907398
48,168,6,2437.295315346807,246.3640299119477,1345.8738735323573,2535.854275907398
49,174,6,2437.907299292881,238.98237953104558,1453.1943264546774,2535.854275907398
50,161,6,2414.937357636692,259.6354849965764,1490.3829527511646,2568.685480598731
51,188,6,2385.1429654265457,296.397543527051,1429.3059182551663,2568.685480598731
52,174,6,2443.2805179591214,227.83101045264343,1295.022770808426,2568.685480598731
53,180,6,2470.628885066076,238.46988218871923,1413.166450075748,2585.1917546181635
54,184,6,2447.261994653536,253.74645812960023,1473.8172414330154,2585.1917546181635
55,179,6,2463.7482494113224,257.96715605809675,1402.7938587462888,2606.36971602112
56,200,6,2486.6084984240547,255.21922864616403,1219.5987811911039,2623.1181474867612
57,184,6,2495.4603147608204,239.61811704529563,1606.9047029608282,2623.1181474867612
58,174,6,2504.930021130042,269.1567439827616,1410.0845448566708,2623.1181474867612
59,176,6,2510.451768724481,274.9343430357019,1394.277607884539,2623.1181474867612
60,167,6,2504.117279559981,276.11179300179043,1498.0331044812542,2623.1181474867612
61,172,6,2513.6353186268184,270.1364557141063,1205.5988804919662,2623.1181474867612
62,205,6,2495.6876574091402,290.07416021879015,1429.3952919517922,2623.1181474867612
63,174,6,2479.7133597562965,306.7206913639845,1304.4328110651893,2623.1181474867612
64,192,6,2495.297198684722,294.16651509688893,1309.157029106527,2623.1181474867612
65,179,6,2488.0976490251032,285.2669558049635,1441.4332680167643,2623.1181474867612
66,170,6,2507.3753770213743,266.95825797217145,1366.9248284668004,2623.1181474867612
